id,complexity,execution_time_sec,composite_score,vnf_coverage,structural_completeness,resource_validity,policy_pass_rate,deployment_success_rate,llm_judge,vnf_count,error

S01,simple,178.67,0.555,0.7,0.9999999999999999,0.0,0.8,0.0,0.6,10,
S02,simple,169.91,0.6488,0.875,0.9999999999999999,0.0,0.8,0.0,0.75,8,
S03,simple,170.89,0.57,0.5,0.9999999999999999,0.0,0.8,0.0,0.7,8,
S04,simple,173.54,0.615,0.5,0.9999999999999999,0.0,0.8,0.0,0.8,10,
S05,simple,171.98,0.6488,0.875,0.9999999999999999,0.0,0.8,0.0,0.75,8,
S06,simple,148.31,0.6825,0.5,0.9999999999999999,0.0,0.8,0.0,0.95,2,
M01,medium,166.65,0.6675,1.0,0.9999999999999999,0.0,0.8,0.0,0.75,8,
M02,medium,174.17,0.57,0.8,0.9999999999999999,0.0,0.8,0.0,0.6,10,Topology has issues: Connection references unknown VNF: internet
M03,medium,162.81,0.6262,0.875,0.9999999999999999,0.0,0.8,0.0,0.7,8,
M04,medium,177.24,0.6225,1.0,0.9999999999999999,0.0,0.8,0.0,0.65,8,
M05,medium,175.06,0.7125,1.0,0.9999999999999999,0.0,0.8,0.0,0.85,8,
M06,medium,171.44,0.6733,0.8888888888888888,0.9999999999999999,0.0,0.8,0.0,0.8,9,
M07,medium,172.53,0.5833,0.8888888888888888,0.9999999999999999,0.0,0.8,0.0,0.6,9,
M08,medium,172.33,0.45,-1.0,0.9999999999999999,0.0,0.8,0.0,0.45,9,
M09,medium,167.09,0.57,-1.0,0.9999999999999999,0.0,0.8,0.0,0.65,8,Topology has issues: Connection references unknown VNF: drone-ue
M10,medium,174.87,0.645,1.0,0.9999999999999999,0.0,0.8,0.0,0.7,8,
C01,complex,174.15,0.57,-1.0,0.9999999999999999,0.0,0.8,0.0,0.65,8,
C02,complex,178.3,0.54,-1.0,0.9999999999999999,0.0,0.8,0.0,0.6,9,
C03,complex,175.46,0.6,-1.0,0.9999999999999999,0.0,0.8,0.0,0.7,10,
C04,complex,166.33,0.54,-1.0,0.9999999999999999,0.0,0.8,0.0,0.6,9,
C05,complex,178.22,0.54,-1.0,0.9999999999999999,0.0,0.8,0.0,0.6,8,
C06,complex,173.79,0.54,-1.0,0.9999999999999999,0.0,0.8,0.0,0.6,10,
C07,complex,177.41,0.51,-1.0,0.9999999999999999,0.0,0.8,0.0,0.55,9,
C08,complex,169.79,0.57,-1.0,0.9999999999999999,0.0,0.8,0.0,0.65,8,Topology has issues: Connection references unknown VNF: ueransim-gnb
C09,complex,176.48,0.5775,0.4,0.9999999999999999,0.0,0.8,0.0,0.75,10,
