intent_id,complexity,scenario,n_reps,n_failures,failure_rate,fail_deployment_success,fail_coverage_ok,fail_policy_go,fail_critic_approved,top_failed_subcond,top_critic_reason
C09,complex,steady,5,5,1.0,0,5,0,0,coverage_ok,—
S03,simple,steady,5,5,1.0,0,5,0,0,coverage_ok,—
S04,simple,steady,5,5,1.0,0,5,0,0,coverage_ok,—
S06,simple,steady,5,5,1.0,0,5,0,0,coverage_ok,—
C01,complex,fault-HA,5,0,0.0,0,0,0,0,—,—
C02,complex,steady,5,0,0.0,0,0,0,0,—,—
C03,complex,fault-HA,5,0,0.0,0,0,0,0,—,—
C04,complex,steady,5,0,0.0,0,0,0,0,—,—
C05,complex,bursty-headroom,5,0,0.0,0,0,0,0,—,—
C06,complex,steady,5,0,0.0,0,0,0,0,—,—
C07,complex,fault-HA,5,0,0.0,0,0,0,0,—,—
C08,complex,steady,5,0,0.0,0,0,0,0,—,—
M01,medium,steady,5,0,0.0,0,0,0,0,—,—
M02,medium,steady,5,0,0.0,0,0,0,0,—,—
M03,medium,fault-HA,5,0,0.0,0,0,0,0,—,—
M04,medium,steady,5,0,0.0,0,0,0,0,—,—
M05,medium,steady,5,0,0.0,0,0,0,0,—,—
M06,medium,fault-HA,5,0,0.0,0,0,0,0,—,—
M07,medium,steady,5,0,0.0,0,0,0,0,—,—
M08,medium,bursty-headroom,5,0,0.0,0,0,0,0,—,—
M09,medium,steady,5,0,0.0,0,0,0,0,—,—
M10,medium,steady,5,0,0.0,0,0,0,0,—,—
N01,simple,steady,5,0,0.0,0,0,0,0,—,—
N02,medium,steady,5,0,0.0,0,0,0,0,—,—
N03,medium,bursty-headroom,5,0,0.0,0,0,0,0,—,—
N04,medium,sinusoidal-autoscale,5,0,0.0,0,0,0,0,—,—
N05,medium,sinusoidal-autoscale,5,0,0.0,0,0,0,0,—,—
N06,medium,fault-HA,5,0,0.0,0,0,0,0,—,—
N07,medium,bursty-headroom,5,0,0.0,0,0,0,0,—,—
N08,medium,fault-HA,5,0,0.0,0,0,0,0,—,—
N09,complex,bursty-headroom,5,0,0.0,0,0,0,0,—,—
N10,complex,sinusoidal-autoscale,5,0,0.0,0,0,0,0,—,—
N11,complex,sinusoidal-autoscale,5,0,0.0,0,0,0,0,—,—
S01,simple,steady,5,0,0.0,0,0,0,0,—,—
S02,simple,steady,5,0,0.0,0,0,0,0,—,—
S05,simple,steady,5,0,0.0,0,0,0,0,—,—
