system,metric,metric_label,direction,n,mean,sd,ci_lo,ci_hi
mas,deployment_time_s,Deployment time (s),lower,180,139.1607611111111,2.3897305038771157,138.8063652777778,139.50310166666665
mas,config_error_rate,Config error rate,lower,180,0.0,0.0,0.0,0.0
mas,resource_accuracy,Resource accuracy,higher,180,0.7663822222222223,0.1844993994496155,0.7389517222222222,0.7925262916666667
mas,interventions,Human interventions,lower,180,0.0,0.0,0.0,0.0
mas,intent_to_deploy_accuracy,Intent-to-deploy accuracy,higher,180,0.8888888888888888,0.31514630616471034,0.8388888888888889,0.9333333333333333
mas,policy_violation_rate,Policy violation rate,lower,180,0.19999999999999996,5.566599435276673e-17,0.19999999999999996,0.19999999999999996
b1,deployment_time_s,Deployment time (s),lower,180,1036.9808333333333,192.6130645071999,1009.4516597222223,1064.5880041666665
b1,config_error_rate,Config error rate,lower,180,0.0,0.0,0.0,0.0
b1,resource_accuracy,Resource accuracy,higher,180,0.11429722222222222,0.15978249791602814,0.09186877777777777,0.1379858472222222
b1,interventions,Human interventions,lower,180,9.277777777777779,1.6377377623644036,9.03888888888889,9.516666666666667
b1,intent_to_deploy_accuracy,Intent-to-deploy accuracy,higher,180,0.0,0.0,0.0,0.0
b1,policy_violation_rate,Policy violation rate,lower,180,0.1311111111111111,0.12915232394688622,0.11222222222222222,0.15
b2,deployment_time_s,Deployment time (s),lower,180,3943.4389444444446,230.60057307680063,3909.1755625000005,3976.9547500000003
b2,config_error_rate,Config error rate,lower,180,0.0,0.0,0.0,0.0
b2,resource_accuracy,Resource accuracy,higher,180,0.2489972222222222,0.25695197417289284,0.21252024999999997,0.2868378472222222
b2,interventions,Human interventions,lower,180,17.416666666666668,2.092484556720009,17.11111111111111,17.716666666666665
b2,intent_to_deploy_accuracy,Intent-to-deploy accuracy,higher,180,0.0,0.0,0.0,0.0
b2,policy_violation_rate,Policy violation rate,lower,180,0.013333333333333336,0.050027925162746706,0.006666666666666668,0.021111111111111112
b3,deployment_time_s,Deployment time (s),lower,180,0.0,0.0,0.0,0.0
b3,config_error_rate,Config error rate,lower,180,0.0,0.0,0.0,0.0
b3,resource_accuracy,Resource accuracy,higher,180,0.35233333333333333,0.2943348822430463,0.3091043194444444,0.3962107083333334
b3,interventions,Human interventions,lower,180,0.4444444444444444,0.4982900618346239,0.37222222222222223,0.5166666666666667
b3,intent_to_deploy_accuracy,Intent-to-deploy accuracy,higher,180,0.0,0.0,0.0,0.0
b3,policy_violation_rate,Policy violation rate,lower,180,0.0,0.0,0.0,0.0
b4,deployment_time_s,Deployment time (s),lower,180,30.008416666666662,4.333024409683864,29.347638055555556,30.62858611111111
b4,config_error_rate,Config error rate,lower,180,0.8685955555555555,0.3139006247441592,0.8205244444444445,0.9125
b4,resource_accuracy,Resource accuracy,higher,180,0.4991466666666667,0.2283520545710409,0.46456395833333336,0.5318149444444444
b4,interventions,Human interventions,lower,180,0.1388888888888889,0.3467952060793984,0.08888888888888889,0.19444444444444445
b4,intent_to_deploy_accuracy,Intent-to-deploy accuracy,higher,180,0.0,0.0,0.0,0.0
b4,policy_violation_rate,Policy violation rate,lower,180,0.0,0.0,0.0,0.0
