scenario,system,metric,n,mean,sd
bursty-headroom,mas,deployment_time_s,25,142.92584,1.0688252382873429
bursty-headroom,mas,config_error_rate,25,0.16444000000000003,0.04445000000000001
bursty-headroom,mas,resource_accuracy,25,0.6725279999999999,0.2522169362539584
bursty-headroom,mas,interventions,25,0.0,0.0
bursty-headroom,mas,intent_to_deploy_accuracy,25,1.0,0.0
bursty-headroom,mas,policy_violation_rate,25,0.20000000000000004,2.832791573980247e-17
bursty-headroom,b1,deployment_time_s,25,1120.5832,189.6885982059368
bursty-headroom,b1,config_error_rate,25,0.0,0.0
bursty-headroom,b1,resource_accuracy,25,0.08102000000000001,0.11413862916062496
bursty-headroom,b1,interventions,25,9.64,1.7530925056406275
bursty-headroom,b1,intent_to_deploy_accuracy,25,0.0,0.0
bursty-headroom,b1,policy_violation_rate,25,0.128,0.11372481406154654
bursty-headroom,b2,deployment_time_s,25,3999.3747999999996,226.76445035028468
bursty-headroom,b2,config_error_rate,25,0.0,0.0
bursty-headroom,b2,resource_accuracy,25,0.19074,0.16527629140321368
bursty-headroom,b2,interventions,25,17.84,1.972308292331602
bursty-headroom,b2,intent_to_deploy_accuracy,25,0.0,0.0
bursty-headroom,b2,policy_violation_rate,25,0.016,0.05537749241945383
bursty-headroom,b3,deployment_time_s,25,0.0,0.0
bursty-headroom,b3,config_error_rate,25,0.0,0.0
bursty-headroom,b3,resource_accuracy,25,0.25611999999999996,0.18948678933723412
bursty-headroom,b3,interventions,25,0.6,0.5
bursty-headroom,b3,intent_to_deploy_accuracy,25,0.0,0.0
bursty-headroom,b3,policy_violation_rate,25,0.0,0.0
bursty-headroom,b4,deployment_time_s,25,29.395120000000002,2.011695415149454
bursty-headroom,b4,config_error_rate,25,0.895,0.29020466915609744
bursty-headroom,b4,resource_accuracy,25,0.46145600000000003,0.21163184243712793
bursty-headroom,b4,interventions,25,0.0,0.0
bursty-headroom,b4,intent_to_deploy_accuracy,25,0.0,0.0
bursty-headroom,b4,policy_violation_rate,25,0.0,0.0
fault-HA,mas,deployment_time_s,35,143.3746,5.518968649389228
fault-HA,mas,config_error_rate,35,0.16380857142857147,0.07232808164854079
fault-HA,mas,resource_accuracy,35,0.6386857142857142,0.060897030463953915
fault-HA,mas,interventions,35,0.37142857142857144,0.4902408943099112
fault-HA,mas,intent_to_deploy_accuracy,35,0.6285714285714286,0.4902408943099112
fault-HA,mas,policy_violation_rate,35,0.20000000000000004,2.816078793465528e-17
fault-HA,b1,deployment_time_s,35,1094.948857142857,170.5258247782503
fault-HA,b1,config_error_rate,35,0.0,0.0
fault-HA,b1,resource_accuracy,35,0.38547142857142846,0.03269289877407785
fault-HA,b1,interventions,35,9.0,1.6803361008336117
fault-HA,b1,intent_to_deploy_accuracy,35,0.0,0.0
fault-HA,b1,policy_violation_rate,35,0.11428571428571428,0.11152118538607796
fault-HA,b2,deployment_time_s,35,3918.8434285714293,244.609266417507
fault-HA,b2,config_error_rate,35,0.0,0.0
fault-HA,b2,resource_accuracy,35,0.5747714285714284,0.12571772436091658
fault-HA,b2,interventions,35,17.485714285714284,2.091599846042829
fault-HA,b2,intent_to_deploy_accuracy,35,0.0,0.0
fault-HA,b2,policy_violation_rate,35,0.017142857142857144,0.0568057281997381
fault-HA,b3,deployment_time_s,35,0.0,0.0
fault-HA,b3,config_error_rate,35,0.0,0.0
fault-HA,b3,resource_accuracy,35,0.5485428571428572,0.19809274311278946
fault-HA,b3,interventions,35,0.5714285714285714,0.5020964452534339
fault-HA,b3,intent_to_deploy_accuracy,35,0.0,0.0
fault-HA,b3,policy_violation_rate,35,0.0,0.0
fault-HA,b4,deployment_time_s,35,31.375514285714285,2.583307665075334
fault-HA,b4,config_error_rate,35,0.8527771428571429,0.32874484570838813
fault-HA,b4,resource_accuracy,35,0.5798885714285714,0.24318671206373454
fault-HA,b4,interventions,35,0.0,0.0
fault-HA,b4,intent_to_deploy_accuracy,35,0.0,0.0
fault-HA,b4,policy_violation_rate,35,0.0,0.0
sinusoidal-autoscale,mas,deployment_time_s,20,143.59055,0.7564362758842808
