system,intent_id,rep,complexity,ue_band,scenario,category,deployment_time_s,config_error_rate,resource_accuracy,interventions,intent_to_deploy_accuracy,policy_violation_rate,error
mas,P001,0,simple,50,steady,perfect,16.611,0.0,0.9921,0,0,0.2,
mas,P001,1,simple,50,steady,perfect,15.646,0.0,0.9921,0,0,0.2,
mas,P001,2,simple,50,steady,perfect,16.916,0.0,0.9921,0,0,0.2,
mas,P001,3,simple,50,steady,perfect,15.073,0.0,0.9921,0,0,0.2,
mas,P001,4,simple,50,steady,perfect,15.698,0.0,0.9921,0,0,0.2,
mas,P002,0,simple,50,steady,perfect,15.492,0.0,0.9761,0,0,0.2,
mas,P002,1,simple,50,steady,perfect,16.112,0.0,0.9761,0,0,0.2,
mas,P002,2,simple,50,steady,perfect,17.323,0.0,0.9761,0,0,0.2,
mas,P002,3,simple,50,steady,perfect,13.915,0.0,0.9761,0,0,0.2,
mas,P002,4,simple,50,steady,perfect,13.897,0.0,0.9761,0,0,0.2,
mas,P003,0,simple,50,steady,perfect,13.766,0.0,0.9916,0,0,0.2,
mas,P003,1,simple,50,steady,perfect,16.024,0.0,0.9916,0,0,0.2,
mas,P003,2,simple,50,steady,perfect,13.496,0.0,0.9916,0,0,0.2,
mas,P003,3,simple,50,steady,perfect,14.603,0.0,0.9916,0,0,0.2,
mas,P003,4,simple,50,steady,perfect,16.198,0.0,0.9916,0,0,0.2,
mas,P004,0,simple,50,steady,perfect,16.133,0.0,0.8958,0,0,0.2,
mas,P004,1,simple,50,steady,perfect,17.165,0.0,0.8958,0,0,0.2,
mas,P004,2,simple,50,steady,perfect,16.466,0.0,0.8958,0,0,0.2,
mas,P004,3,simple,50,steady,perfect,17.223,0.0,0.8958,0,0,0.2,
mas,P004,4,simple,50,steady,perfect,17.082,0.0,0.8958,0,0,0.2,
mas,P005,0,simple,50,steady,perfect,19.287,0.0,0.9686,0,0,0.2,
mas,P005,1,simple,50,steady,perfect,15.86,0.0,0.9686,0,0,0.2,
mas,P005,2,simple,50,steady,perfect,16.17,0.0,0.9686,0,0,0.2,
mas,P005,3,simple,50,steady,perfect,15.324,0.0,0.9686,0,0,0.2,
mas,P005,4,simple,50,steady,perfect,17.216,0.0,0.9686,0,0,0.2,
mas,P006,0,simple,50,steady,perfect,17.348,0.0,0.9484,0,0,0.2,
mas,P006,1,simple,50,steady,perfect,13.209,0.0,0.9484,0,0,0.2,
mas,P006,2,simple,50,steady,perfect,17.438,0.0,0.9484,0,0,0.2,
mas,P006,3,simple,50,steady,perfect,13.782,0.0,0.9484,0,0,0.2,
mas,P006,4,simple,50,steady,perfect,16.81,0.0,0.9484,0,0,0.2,
mas,P007,0,simple,200,steady,perfect,15.943,0.0,0.9399,0,0,0.2,
mas,P007,1,simple,200,steady,perfect,16.884,0.0,0.9399,0,0,0.2,
mas,P007,2,simple,200,steady,perfect,15.823,0.0,0.9399,0,0,0.2,
mas,P007,3,simple,200,steady,perfect,15.496,0.0,0.9399,0,0,0.2,
mas,P007,4,simple,200,steady,perfect,15.485,0.0,0.9399,0,0,0.2,
mas,P008,0,simple,200,steady,perfect,17.078,0.0,0.9639,0,0,0.2,
mas,P008,1,simple,200,steady,perfect,16.164,0.0,0.9639,0,0,0.2,
mas,P008,2,simple,200,steady,perfect,16.028,0.0,0.9639,0,0,0.2,
mas,P008,3,simple,200,steady,perfect,15.78,0.0,0.9639,0,0,0.2,
mas,P008,4,simple,200,steady,perfect,17.36,0.0,0.9639,0,0,0.2,
mas,P009,0,simple,200,steady,perfect,16.396,0.0,0.8341,0,0,0.2,
mas,P009,1,simple,200,steady,perfect,17.204,0.0,0.8341,0,0,0.2,
mas,P009,2,simple,200,steady,perfect,16.05,0.0,0.8341,0,0,0.2,
mas,P009,3,simple,200,steady,perfect,15.739,0.0,0.8341,0,0,0.2,
mas,P009,4,simple,200,steady,perfect,16.093,0.0,0.8341,0,0,0.2,
mas,P010,0,simple,50,steady,perfect,14.061,0.0,0.9443,0,0,0.2,
mas,P010,1,simple,50,steady,perfect,13.203,0.0,0.9443,0,0,0.2,
mas,P010,2,simple,50,steady,perfect,13.995,0.0,0.9443,0,0,0.2,
mas,P010,3,simple,50,steady,perfect,13.171,0.0,0.9443,0,0,0.2,
mas,P010,4,simple,50,steady,perfect,13.79,0.0,0.9443,0,0,0.2,
mas,P011,0,simple,200,bursty-headroom,perfect,15.546,0.0,0.9399,0,0,0.2,
mas,P011,1,simple,200,bursty-headroom,perfect,15.639,0.0,0.9399,0,0,0.2,
mas,P011,2,simple,200,bursty-headroom,perfect,15.893,0.0,0.9399,0,0,0.2,
mas,P011,3,simple,200,bursty-headroom,perfect,15.902,0.0,0.9399,0,0,0.2,
mas,P011,4,simple,200,bursty-headroom,perfect,16.032,0.0,0.9399,0,0,0.2,
mas,P012,0,simple,200,bursty-headroom,perfect,16.305,0.0,0.8718,0,0,0.2,
mas,P012,1,simple,200,bursty-headroom,perfect,16.928,0.0,0.8718,0,0,0.2,
mas,P012,2,simple,200,bursty-headroom,perfect,15.628,0.0,0.8718,0,0,0.2,
mas,P012,3,simple,200,bursty-headroom,perfect,15.731,0.0,0.8718,0,0,0.2,
mas,P012,4,simple,200,bursty-headroom,perfect,15.905,0.0,0.8718,0,0,0.2,
mas,P013,0,simple,50,bursty-headroom,perfect,15.944,0.0,0.9456,0,0,0.2,
mas,P013,1,simple,50,bursty-headroom,perfect,15.923,0.0,0.9456,0,0,0.2,
mas,P013,2,simple,50,bursty-headroom,perfect,19.145,0.0,0.9456,0,0,0.2,
mas,P013,3,simple,50,bursty-headroom,perfect,16.142,0.0,0.9456,0,0,0.2,
mas,P013,4,simple,50,bursty-headroom,perfect,17.071,0.0,0.9456,0,0,0.2,
mas,P014,0,simple,50,fault-HA,perfect,16.752,0.0,0.6919,0,0,0.2,
mas,P014,1,simple,50,fault-HA,perfect,13.333,0.0,0.6919,0,0,0.2,
mas,P014,2,simple,50,fault-HA,perfect,15.915,0.0,0.6919,0,0,0.2,
mas,P014,3,simple,50,fault-HA,perfect,17.356,0.0,0.6919,0,0,0.2,
mas,P014,4,simple,50,fault-HA,perfect,15.979,0.0,0.6919,0,0,0.2,
mas,P015,0,simple,50,fault-HA,perfect,21.147,0.0,0.6716,0,0,0.2,
mas,P015,1,simple,50,fault-HA,perfect,15.569,0.0,0.6716,0,0,0.2,
mas,P015,2,simple,50,fault-HA,perfect,18.6,0.0,0.6716,0,0,0.2,
mas,P015,3,simple,50,fault-HA,perfect,16.8,0.0,0.6716,0,0,0.2,
mas,P015,4,simple,50,fault-HA,perfect,15.716,0.0,0.6716,0,0,0.2,
mas,P016,0,medium,200,steady,perfect,19.244,0.0,0.9922,0,0,0.2,
mas,P016,1,medium,200,steady,perfect,21.746,0.0,0.9922,0,0,0.2,
mas,P016,2,medium,200,steady,perfect,21.336,0.0,0.9922,0,0,0.2,
mas,P016,3,medium,200,steady,perfect,21.106,0.0,0.9922,0,0,0.2,
mas,P016,4,medium,200,steady,perfect,20.939,0.0,0.9922,0,0,0.2,
mas,P017,0,medium,200,steady,perfect,14.009,0.0,0.8988,0,0,0.2,
mas,P017,1,medium,200,steady,perfect,14.036,0.0,0.8988,0,0,0.2,
mas,P017,2,medium,200,steady,perfect,13.572,0.0,0.8988,0,0,0.2,
mas,P017,3,medium,200,steady,perfect,13.22,0.0,0.8988,0,0,0.2,
mas,P017,4,medium,200,steady,perfect,14.01,0.0,0.8988,0,0,0.2,
mas,P018,0,medium,500,steady,perfect,15.619,0.0,0.5223,0,0,0.2,
mas,P018,1,medium,500,steady,perfect,17.903,0.0,0.5223,0,0,0.2,
mas,P018,2,medium,500,steady,perfect,17.34,0.0,0.5223,0,0,0.2,
mas,P018,3,medium,500,steady,perfect,16.036,0.0,0.5223,0,0,0.2,
mas,P018,4,medium,500,steady,perfect,17.492,0.0,0.5223,0,0,0.2,
mas,P019,0,medium,500,steady,perfect,16.482,0.0,0.729,0,0,0.2,
mas,P019,1,medium,500,steady,perfect,17.158,0.0,0.729,0,0,0.2,
mas,P019,2,medium,500,steady,perfect,17.829,0.0,0.729,0,0,0.2,
mas,P019,3,medium,500,steady,perfect,13.604,0.0,0.729,0,0,0.2,
mas,P019,4,medium,500,steady,perfect,15.864,0.0,0.729,0,0,0.2,
mas,P020,0,medium,200,steady,perfect,17.767,0.0,0.9239,0,0,0.2,
mas,P020,1,medium,200,steady,perfect,19.276,0.0,0.9239,0,0,0.2,
mas,P020,2,medium,200,steady,perfect,19.307,0.0,0.9239,0,0,0.2,
mas,P020,3,medium,200,steady,perfect,18.96,0.0,0.9239,0,0,0.2,
mas,P020,4,medium,200,steady,perfect,19.851,0.0,0.9239,0,0,0.2,
mas,P021,0,medium,200,steady,perfect,16.185,0.0,0.9399,0,0,0.2,
mas,P021,1,medium,200,steady,perfect,17.071,0.0,0.9399,0,0,0.2,
mas,P021,2,medium,200,steady,perfect,13.148,0.0,0.9399,0,0,0.2,
mas,P021,3,medium,200,steady,perfect,15.712,0.0,0.9399,0,0,0.2,
mas,P021,4,medium,200,steady,perfect,15.687,0.0,0.9399,0,0,0.2,
mas,P022,0,medium,200,steady,perfect,15.769,0.0,0.9187,0,0,0.2,
mas,P022,1,medium,200,steady,perfect,17.915,0.0,0.9187,0,0,0.2,
mas,P022,2,medium,200,steady,perfect,16.242,0.0,0.9187,0,0,0.2,
mas,P022,3,medium,200,steady,perfect,15.963,0.0,0.9187,0,0,0.2,
mas,P022,4,medium,200,steady,perfect,17.459,0.0,0.9187,0,0,0.2,
mas,P023,0,medium,200,steady,perfect,15.352,0.0,0.8809,0,0,0.2,
mas,P023,1,medium,200,steady,perfect,14.085,0.0,0.8639,0,0,0.2,
mas,P023,2,medium,200,steady,perfect,14.515,0.0,0.8639,0,0,0.2,
mas,P023,3,medium,200,steady,perfect,15.492,0.0,0.8809,0,0,0.2,
mas,P023,4,medium,200,steady,perfect,15.61,0.0,0.8809,0,0,0.2,
mas,P024,0,medium,200,steady,perfect,17.916,0.0,0.9918,0,0,0.2,
mas,P024,1,medium,200,steady,perfect,18.698,0.0,0.9918,0,0,0.2,
mas,P024,2,medium,200,steady,perfect,18.272,0.0,0.9918,0,0,0.2,
mas,P024,3,medium,200,steady,perfect,18.482,0.0,0.9918,0,0,0.2,
mas,P024,4,medium,200,steady,perfect,18.98,0.0,0.9918,0,0,0.2,
mas,P025,0,medium,500,steady,perfect,17.155,0.0,0.9921,0,0,0.2,
mas,P025,1,medium,500,steady,perfect,15.511,0.0,0.9921,0,0,0.2,
mas,P025,2,medium,500,steady,perfect,15.853,0.0,0.9921,0,0,0.2,
mas,P025,3,medium,500,steady,perfect,15.885,0.0,0.9921,0,0,0.2,
mas,P025,4,medium,500,steady,perfect,15.894,0.0,0.9921,0,0,0.2,
mas,P026,0,medium,500,bursty-headroom,perfect,15.864,0.0,0.3189,0,0,0.2,
mas,P026,1,medium,500,bursty-headroom,perfect,15.794,0.0,0.3189,0,0,0.2,
mas,P026,2,medium,500,bursty-headroom,perfect,15.587,0.0,0.3189,0,0,0.2,
mas,P026,3,medium,500,bursty-headroom,perfect,16.819,0.0,0.3189,0,0,0.2,
mas,P026,4,medium,500,bursty-headroom,perfect,17.737,0.0,0.3189,0,0,0.2,
mas,P027,0,medium,500,bursty-headroom,perfect,15.717,0.0,0.8989,0,0,0.2,
mas,P027,1,medium,500,bursty-headroom,perfect,17.429,0.0,0.8989,0,0,0.2,
mas,P027,2,medium,500,bursty-headroom,perfect,16.125,0.0,0.8989,0,0,0.2,
mas,P027,3,medium,500,bursty-headroom,perfect,15.312,0.0,0.8989,0,0,0.2,
mas,P027,4,medium,500,bursty-headroom,perfect,15.592,0.0,0.8989,0,0,0.2,
mas,P028,0,medium,500,bursty-headroom,perfect,16.601,0.0,0.8859,0,0,0.2,
mas,P028,1,medium,500,bursty-headroom,perfect,15.644,0.0,0.8859,0,0,0.2,
mas,P028,2,medium,500,bursty-headroom,perfect,16.57,0.0,0.8859,0,0,0.2,
mas,P028,3,medium,500,bursty-headroom,perfect,15.439,0.0,0.8859,0,0,0.2,
mas,P028,4,medium,500,bursty-headroom,perfect,15.372,0.0,0.8859,0,0,0.2,
mas,P029,0,medium,500,bursty-headroom,perfect,15.511,0.0,0.5326,0,0,0.2,
mas,P029,1,medium,500,bursty-headroom,perfect,15.718,0.0,0.5326,0,0,0.2,
mas,P029,2,medium,500,bursty-headroom,perfect,17.535,0.0,0.5326,0,0,0.2,
mas,P029,3,medium,500,bursty-headroom,perfect,18.14,0.0,0.5326,0,0,0.2,
mas,P029,4,medium,500,bursty-headroom,perfect,18.238,0.0,0.5326,0,0,0.2,
mas,P030,0,medium,200,sinusoidal-autoscale,perfect,19.856,0.0,0.7891,0,0,0.2,
mas,P030,1,medium,200,sinusoidal-autoscale,perfect,19.395,0.0,0.7891,0,0,0.2,
mas,P030,2,medium,200,sinusoidal-autoscale,perfect,19.159,0.0,0.7891,0,0,0.2,
mas,P030,3,medium,200,sinusoidal-autoscale,perfect,19.993,0.0,0.7891,0,0,0.2,
