system,intent_id,rep,complexity,ue_band,scenario,deployment_time_s,config_error_rate,resource_accuracy,interventions,intent_to_deploy_accuracy,policy_violation_rate,error
mas,S01,0,simple,50,steady,139.755,0.0,0.9154,0,1,0.2,
mas,S01,1,simple,50,steady,136.43,0.0,0.9154,0,1,0.2,
mas,S01,2,simple,50,steady,140.049,0.0,0.9154,0,1,0.2,
mas,S01,3,simple,50,steady,139.317,0.0,0.9154,0,1,0.2,
mas,S01,4,simple,50,steady,139.402,0.0,0.9154,0,1,0.2,
mas,S02,0,simple,200,steady,138.443,0.0,0.9916,0,1,0.2,
mas,S02,1,simple,200,steady,138.801,0.0,0.9916,0,1,0.2,
mas,S02,2,simple,200,steady,138.113,0.0,0.9916,0,1,0.2,
mas,S02,3,simple,200,steady,136.354,0.0,0.9916,0,1,0.2,
mas,S02,4,simple,200,steady,136.262,0.0,0.9916,0,1,0.2,
mas,S03,0,simple,50,steady,139.015,0.0,0.8452,0,0,0.2,
mas,S03,1,simple,50,steady,138.29,0.0,0.8452,0,0,0.2,
mas,S03,2,simple,50,steady,139.721,0.0,0.8452,0,0,0.2,
mas,S03,3,simple,50,steady,139.43,0.0,0.8452,0,0,0.2,
mas,S03,4,simple,50,steady,135.896,0.0,0.8452,0,0,0.2,
mas,S04,0,simple,50,steady,138.902,0.0,0.9154,0,0,0.2,
mas,S04,1,simple,50,steady,138.091,0.0,0.9154,0,0,0.2,
mas,S04,2,simple,50,steady,137.901,0.0,0.9154,0,0,0.2,
mas,S04,3,simple,50,steady,135.785,0.0,0.9154,0,0,0.2,
mas,S04,4,simple,50,steady,135.655,0.0,0.9154,0,0,0.2,
mas,S05,0,simple,200,steady,139.178,0.0,0.9129,0,1,0.2,
mas,S05,1,simple,200,steady,138.305,0.0,0.9129,0,1,0.2,
mas,S05,2,simple,200,steady,137.277,0.0,0.9129,0,1,0.2,
mas,S05,3,simple,200,steady,138.478,0.0,0.9129,0,1,0.2,
mas,S05,4,simple,200,steady,138.285,0.0,0.9129,0,1,0.2,
mas,S06,0,simple,50,steady,138.251,0.0,0.8533,0,0,0.2,
mas,S06,1,simple,50,steady,140.115,0.0,0.8533,0,0,0.2,
mas,S06,2,simple,50,steady,139.482,0.0,0.8533,0,0,0.2,
mas,S06,3,simple,50,steady,138.118,0.0,0.8533,0,0,0.2,
mas,S06,4,simple,50,steady,139.905,0.0,0.8533,0,0,0.2,
mas,N01,0,simple,500,steady,137.994,0.0,0.7761,0,1,0.2,
mas,N01,1,simple,500,steady,138.946,0.0,0.7761,0,1,0.2,
mas,N01,2,simple,500,steady,138.776,0.0,0.7761,0,1,0.2,
mas,N01,3,simple,500,steady,138.37,0.0,0.7761,0,1,0.2,
mas,N01,4,simple,500,steady,138.111,0.0,0.7761,0,1,0.2,
mas,M01,0,medium,500,steady,135.558,0.0,0.9916,0,1,0.2,
mas,M01,1,medium,500,steady,136.046,0.0,0.9916,0,1,0.2,
mas,M01,2,medium,500,steady,135.709,0.0,0.9916,0,1,0.2,
mas,M01,3,medium,500,steady,135.733,0.0,0.9916,0,1,0.2,
mas,M01,4,medium,500,steady,135.14,0.0,0.9916,0,1,0.2,
mas,M02,0,medium,200,steady,140.722,0.0,0.9686,0,1,0.2,
mas,M02,1,medium,200,steady,140.862,0.0,0.9686,0,1,0.2,
mas,M02,2,medium,200,steady,144.183,0.0,0.9686,0,1,0.2,
mas,M02,3,medium,200,steady,141.104,0.0,0.9686,0,1,0.2,
mas,M02,4,medium,200,steady,140.781,0.0,0.9686,0,1,0.2,
mas,M03,0,medium,500,fault-HA,138.121,0.0,0.6961,0,1,0.2,
mas,M03,1,medium,500,fault-HA,137.742,0.0,0.6961,0,1,0.2,
mas,M03,2,medium,500,fault-HA,138.065,0.0,0.6961,0,1,0.2,
mas,M03,3,medium,500,fault-HA,137.669,0.0,0.6961,0,1,0.2,
mas,M03,4,medium,500,fault-HA,139.177,0.0,0.6961,0,1,0.2,
mas,M04,0,medium,500,steady,135.595,0.0,0.5165,0,1,0.2,
mas,M04,1,medium,500,steady,135.759,0.0,0.5165,0,1,0.2,
mas,M04,2,medium,500,steady,135.881,0.0,0.5165,0,1,0.2,
mas,M04,3,medium,500,steady,135.892,0.0,0.5165,0,1,0.2,
mas,M04,4,medium,500,steady,135.984,0.0,0.5165,0,1,0.2,
mas,M05,0,medium,500,steady,136.386,0.0,0.4334,0,1,0.2,
mas,M05,1,medium,500,steady,137.258,0.0,0.4334,0,1,0.2,
mas,M05,2,medium,500,steady,135.453,0.0,0.4334,0,1,0.2,
mas,M05,3,medium,500,steady,136.644,0.0,0.4334,0,1,0.2,
mas,M05,4,medium,500,steady,135.591,0.0,0.4334,0,1,0.2,
