system,intent_id,rep,complexity,ue_band,scenario,category,deployment_time_s,config_error_rate,resource_accuracy,interventions,intent_to_deploy_accuracy,policy_violation_rate,error
confucius,S01,0,simple,50,steady,,122.938,0.0,0.0,0,1,0.0,
confucius,C03,0,complex,200,fault-HA,,128.235,0.0,0.0702,0,1,0.0,
ossgpt,S01,0,simple,50,steady,,85.36,0.0,0.0,0,1,0.0,
ossgpt,C03,0,complex,200,fault-HA,,12.181,0.0,0.0,1,0,0.0,No config artifacts to deploy — run the pre-deployment pipeline first
lin,S01,0,simple,50,steady,,83.658,0.0,0.0,0,1,0.0,
lin,C03,0,complex,200,fault-HA,,85.943,0.0,0.0,1,0,0.0,
mas,S01,0,simple,50,steady,,80.334,0.0,0.9154,0,1,0.0,
mas,C03,0,complex,200,fault-HA,,81.996,0.0,0.8818,0,1,0.0,
mas,S02,0,simple,200,steady,,81.573,0.0,0.9916,0,1,0.0,
mas,S03,0,simple,50,steady,,92.26,0.0,0.8452,0,0,0.0,
mas,S04,0,simple,50,steady,,91.912,0.0,0.9154,0,0,0.0,
mas,S05,0,simple,200,steady,,91.987,0.0,0.9129,0,1,0.0,
mas,S06,0,simple,50,steady,,91.87,0.0,0.8533,0,0,0.0,
mas,N01,0,simple,500,steady,,92.316,0.0,0.7761,0,1,0.0,
mas,M01,0,medium,500,steady,,87.588,0.0,0.9916,0,1,0.0,
mas,M02,0,medium,200,steady,,99.723,0.0,0.9686,0,1,0.0,
mas,M03,0,medium,500,fault-HA,,92.163,0.0,0.9916,0,1,0.0,
mas,M04,0,medium,500,steady,,88.157,0.0,0.5165,0,1,0.0,
mas,M05,0,medium,500,steady,,86.836,0.0,0.4334,0,1,0.0,
mas,M06,0,medium,200,fault-HA,,87.24,0.0,0.9448,0,1,0.0,
mas,M07,0,medium,200,steady,,93.65,0.0,0.9443,0,1,0.0,
mas,M08,0,medium,500,bursty-headroom,,91.005,0.0,0.3144,0,1,0.0,
mas,M09,0,medium,200,steady,,87.284,0.0,0.9399,0,1,0.0,
mas,M10,0,medium,200,steady,,95.634,0.0,0.872,0,1,0.0,
mas,N02,0,medium,50,steady,,87.113,0.0,0.8856,0,1,0.0,
mas,N03,0,medium,200,bursty-headroom,,92.713,0.0,0.9129,0,1,0.0,
mas,N04,0,medium,500,sinusoidal-autoscale,,92.135,0.0,0.7761,0,1,0.0,
mas,N05,0,medium,200,sinusoidal-autoscale,,91.604,0.0,0.9399,0,1,0.0,
