system,intent_id,rep,complexity,ue_band,scenario,deployment_time_s,config_error_rate,resource_accuracy,interventions,intent_to_deploy_accuracy,policy_violation_rate,error
b1,S01,0,simple,50,steady,858.17,0.0,0.0,9,0,0.2,
b1,S01,1,simple,50,steady,733.64,0.0,0.0,8,0,0.4,
b1,S01,2,simple,50,steady,886.69,0.0,0.0,8,0,0.2,
b1,S01,3,simple,50,steady,747.63,0.0,0.0,10,0,0.0,
b1,S01,4,simple,50,steady,983.75,0.0,0.0,10,0,0.2,
b1,S02,0,simple,200,steady,876.15,0.0,0.0,8,0,0.2,
b1,S02,1,simple,200,steady,805.77,0.0,0.0,12,0,0.2,
b1,S02,2,simple,200,steady,864.31,0.0,0.0,9,0,0.4,
b1,S02,3,simple,200,steady,820.94,0.0,0.0,10,0,0.4,
b1,S02,4,simple,200,steady,805.94,0.0,0.0,8,0,0.2,
b1,S03,0,simple,50,steady,881.55,0.0,0.0,10,0,0.0,
b1,S03,1,simple,50,steady,867.84,0.0,0.0,9,0,0.2,
b1,S03,2,simple,50,steady,836.57,0.0,0.0,9,0,0.0,
b1,S03,3,simple,50,steady,851.91,0.0,0.0,9,0,0.0,
b1,S03,4,simple,50,steady,885.02,0.0,0.0,11,0,0.0,
b1,S04,0,simple,50,steady,808.89,0.0,0.0,8,0,0.0,
b1,S04,1,simple,50,steady,918.05,0.0,0.0,10,0,0.0,
b1,S04,2,simple,50,steady,780.78,0.0,0.0,7,0,0.2,
b1,S04,3,simple,50,steady,772.44,0.0,0.0,8,0,0.0,
b1,S04,4,simple,50,steady,764.08,0.0,0.0,10,0,0.6,
b1,S05,0,simple,200,steady,810.23,0.0,0.0,5,0,0.2,
b1,S05,1,simple,200,steady,820.05,0.0,0.0,7,0,0.2,
b1,S05,2,simple,200,steady,719.99,0.0,0.0,8,0,0.0,
b1,S05,3,simple,200,steady,831.06,0.0,0.0,8,0,0.2,
b1,S05,4,simple,200,steady,794.62,0.0,0.0,7,0,0.0,
b1,S06,0,simple,50,steady,704.66,0.0,0.0,10,0,0.4,
b1,S06,1,simple,50,steady,728.69,0.0,0.0,8,0,0.2,
b1,S06,2,simple,50,steady,791.49,0.0,0.0,7,0,0.0,
b1,S06,3,simple,50,steady,860.03,0.0,0.0,11,0,0.0,
b1,S06,4,simple,50,steady,717.01,0.0,0.0,8,0,0.0,
b1,N01,0,simple,500,steady,744.78,0.0,0.0,10,0,0.2,
b1,N01,1,simple,500,steady,852.76,0.0,0.0,8,0,0.0,
b1,N01,2,simple,500,steady,765.74,0.0,0.0,11,0,0.4,
b1,N01,3,simple,500,steady,810.76,0.0,0.0,7,0,0.2,
b1,N01,4,simple,500,steady,757.05,0.0,0.0,10,0,0.2,
b1,M01,0,medium,500,steady,867.22,0.0,0.0,8,0,0.0,
b1,M01,1,medium,500,steady,812.25,0.0,0.0,8,0,0.0,
b1,M01,2,medium,500,steady,1013.51,0.0,0.0,8,0,0.2,
