system,intent_id,rep,complexity,ue_band,scenario,deployment_time_s,config_error_rate,resource_accuracy,interventions,intent_to_deploy_accuracy,policy_violation_rate,error
b1,S01,0,simple,50,steady,845.47,0.0,0.0,9,0,0.0,
b1,M01,0,medium,500,steady,995.56,0.0,0.0,11,0,0.2,
b1,M03,0,medium,500,fault-HA,1009.41,0.0,0.426,8,0,0.0,
b1,C03,0,complex,200,fault-HA,1395.24,0.0,0.4121,10,0,0.2,
b2,S01,0,simple,50,steady,3520.92,0.0,0.0,20,0,0.2,
b2,M01,0,medium,500,steady,3859.03,0.0,0.2649,17,0,0.0,
b2,M03,0,medium,500,fault-HA,3735.14,0.0,0.7694,16,0,0.0,
b2,C03,0,complex,200,fault-HA,4242.35,0.0,0.6072,16,0,0.0,
b3,S01,0,simple,50,steady,0.0,0.0,0.7954,0,0,0.0,
b3,M01,0,medium,500,steady,0.0,0.0,0.0,0,0,0.0,
b3,M03,0,medium,500,fault-HA,0.0,0.0,0.4239,0,0,0.0,
b3,C03,0,complex,200,fault-HA,0.0,0.0,0.7346,1,0,0.0,
b4,S01,0,simple,50,steady,27.538,1.0,0.6759,0,0,0.0,
b4,M01,0,medium,500,steady,33.073,1.0,0.7353,0,0,0.0,
b4,M03,0,medium,500,fault-HA,25.471,0.125,0.5015,0,0,0.0,
b4,C03,0,complex,200,fault-HA,33.888,1.0,0.5347,0,0,0.0,
mas,S01,0,simple,50,steady,37.841,0.0,0.926,0,0,0.2,
mas,M01,0,medium,500,steady,43.112,0.0,0.9927,0,0,0.2,
mas,M03,0,medium,500,fault-HA,50.756,0.2,0.6922,0,0,0.2,
mas,C03,0,complex,200,fault-HA,46.172,0.1111,0.5924,1,0,0.2,
