comparison,A,B,stratum,n_a,n_b,mean_a,mean_b,mean_diff,ci_lo,ci_hi,U,p_mw,p_bonf,Cohen_d,Cliffs_delta,delta_label,sig
7B vs 14B (Qwen2.5) — threshold,qwen25_7b,qwen25_14b,overall,180,180,0.38333333333333336,0.6944444444444444,-0.31111111111111106,-0.40555555555555556,-0.21111111111111108,11160.0,3.3789947928464627e-09,1.0136984378539388e-08,-0.6550896076719445,-0.3111111111111111,small,✓
7B vs 14B (Qwen2.5) — threshold,qwen25_7b,qwen25_14b,simple,35,35,0.22857142857142856,0.5428571428571428,-0.3142857142857143,-0.5428571428571428,-0.08571428571428574,420.0,0.007480090472634901,,-0.6723748300523392,-0.3142857142857143,small,—
7B vs 14B (Qwen2.5) — threshold,qwen25_7b,qwen25_14b,medium,85,85,0.7058823529411765,0.8235294117647058,-0.11764705882352933,-0.24705882352941178,0.0117647058823529,3187.5,0.07175731780797444,,-0.2784037544988053,-0.11764705882352941,negligible,—
7B vs 14B (Qwen2.5) — threshold,qwen25_7b,qwen25_14b,complex,60,60,0.016666666666666666,0.6,-0.5833333333333333,-0.7166666666666666,-0.45,750.0,5.72059177506053e-12,,-1.6155952673533511,-0.5833333333333334,large,—
14B vs 22B (Mistral) — plateau,qwen25_14b,mistral22b,overall,180,180,0.6944444444444444,0.7,-0.005555555555555536,-0.09999999999999998,0.0888888888888889,16110.0,0.9093058554629005,1.0,-0.012058077920560352,-0.005555555555555556,negligible,✗
14B vs 22B (Mistral) — plateau,qwen25_14b,mistral22b,simple,35,35,0.5428571428571428,0.2857142857142857,0.2571428571428571,0.02857142857142858,0.4857142857142857,770.0,0.030679792402838132,,0.5329765008796759,0.2571428571428571,small,—
14B vs 22B (Mistral) — plateau,qwen25_14b,mistral22b,medium,85,85,0.8235294117647058,0.7529411764705882,0.07058823529411762,-0.04705882352941182,0.19999999999999996,3867.5,0.2623615362926881,,0.17239884636824618,0.07058823529411765,negligible,—
14B vs 22B (Mistral) — plateau,qwen25_14b,mistral22b,complex,60,60,0.6,0.8666666666666667,-0.2666666666666667,-0.41666666666666663,-0.1166666666666667,1320.0,0.0010173857114403652,,-0.627162924074226,-0.26666666666666666,small,—
14B vs 120B (GPT-OSS) — diminishing returns,qwen25_14b,gpt120b,overall,180,180,0.6944444444444444,0.6222222222222222,0.07222222222222219,-0.02777777777777768,0.17222222222222217,17370.0,0.14929024198889532,0.447870725966686,0.15229983571024677,0.07222222222222222,negligible,✗
14B vs 120B (GPT-OSS) — diminishing returns,qwen25_14b,gpt120b,simple,35,35,0.5428571428571428,0.2857142857142857,0.2571428571428571,0.02857142857142858,0.4857142857142857,770.0,0.030679792402838132,,0.5329765008796759,0.2571428571428571,small,—
14B vs 120B (GPT-OSS) — diminishing returns,qwen25_14b,gpt120b,medium,85,85,0.8235294117647058,0.8,0.0235294117647058,-0.09411764705882353,0.14117647058823535,3697.5,0.6973112636043645,,0.05986492181175261,0.023529411764705882,negligible,—
14B vs 120B (GPT-OSS) — diminishing returns,qwen25_14b,gpt120b,complex,60,60,0.6,0.5666666666666667,0.033333333333333326,-0.14999999999999997,0.21666666666666662,1860.0,0.7145825305461562,,0.06708488196496465,0.03333333333333333,negligible,—
