system,intent_id,rep,complexity,ue_band,scenario,deployment_time_s,config_error_rate,resource_accuracy,interventions,intent_to_deploy_accuracy,policy_violation_rate,error
gpt120b,S01,0,simple,50,steady,139.613,0.0,0.926,0,1,0.2,
gpt120b,S01,1,simple,50,steady,140.008,0.0,0.926,0,1,0.2,
gpt120b,S01,2,simple,50,steady,139.25,0.0,0.926,0,1,0.2,
gpt120b,S01,3,simple,50,steady,139.033,0.0,0.926,0,1,0.2,
gpt120b,S01,4,simple,50,steady,139.136,0.0,0.926,0,1,0.2,
gpt120b,S02,0,simple,200,steady,143.773,0.2,0.9926,0,0,0.2,
gpt120b,S02,1,simple,200,steady,143.704,0.2,0.9926,0,0,0.2,
gpt120b,S02,2,simple,200,steady,144.489,0.2,0.9926,0,0,0.2,
gpt120b,S02,3,simple,200,steady,143.247,0.2,0.9926,0,0,0.2,
gpt120b,S02,4,simple,200,steady,144.22,0.2,0.9926,0,0,0.2,
gpt120b,S03,0,simple,50,steady,139.291,0.0,0.8646,0,0,0.2,
gpt120b,S03,1,simple,50,steady,139.74,0.0,0.8646,0,0,0.2,
gpt120b,S03,2,simple,50,steady,139.377,0.0,0.8646,0,0,0.2,
gpt120b,S03,3,simple,50,steady,138.748,0.0,0.8646,0,0,0.2,
gpt120b,S03,4,simple,50,steady,139.464,0.0,0.8646,0,0,0.2,
gpt120b,S04,0,simple,50,steady,143.134,0.2,0.926,0,0,0.2,
gpt120b,S04,1,simple,50,steady,144.039,0.2,0.926,0,0,0.2,
gpt120b,S04,2,simple,50,steady,144.227,0.2,0.926,0,0,0.2,
gpt120b,S04,3,simple,50,steady,143.635,0.2,0.926,0,0,0.2,
gpt120b,S04,4,simple,50,steady,144.038,0.2,0.926,0,0,0.2,
gpt120b,S05,0,simple,200,steady,143.508,0.2,0.9238,0,0,0.2,
gpt120b,S05,1,simple,200,steady,142.878,0.2,0.9238,0,0,0.2,
gpt120b,S05,2,simple,200,steady,143.264,0.2,0.9238,0,0,0.2,
gpt120b,S05,3,simple,200,steady,144.99,0.2,0.9238,0,0,0.2,
gpt120b,S05,4,simple,200,steady,142.419,0.2,0.9238,0,0,0.2,
gpt120b,S06,0,simple,50,steady,127.637,0.0,0.0,1,0,0.2,
gpt120b,S06,1,simple,50,steady,127.475,0.0,0.0,1,0,0.2,
gpt120b,S06,2,simple,50,steady,127.564,0.0,0.0,1,0,0.2,
gpt120b,S06,3,simple,50,steady,127.596,0.0,0.0,1,0,0.2,
gpt120b,S06,4,simple,50,steady,127.342,0.0,0.0,1,0,0.2,
gpt120b,N01,0,simple,500,steady,140.059,0.0,0.8041,0,1,0.2,
gpt120b,N01,1,simple,500,steady,139.165,0.0,0.8041,0,1,0.2,
gpt120b,N01,2,simple,500,steady,138.838,0.0,0.8041,0,1,0.2,
gpt120b,N01,3,simple,500,steady,139.341,0.0,0.8041,0,1,0.2,
gpt120b,N01,4,simple,500,steady,139.664,0.0,0.8041,0,1,0.2,
gpt120b,M01,0,medium,500,steady,143.378,0.2,0.9927,0,1,0.2,
gpt120b,M01,1,medium,500,steady,140.357,0.0,0.9927,0,1,0.2,
gpt120b,M01,2,medium,500,steady,140.481,0.0,0.9927,0,1,0.2,
gpt120b,M01,3,medium,500,steady,142.872,0.2,0.9927,0,1,0.2,
gpt120b,M01,4,medium,500,steady,142.354,0.2,0.9927,0,1,0.2,
