run_id,scenario,system,rep,detection_latency_s,detection_latency_fingerprint_s,plan_latency_s,action_latency_s,recovery_time_s,remediation_success,false_positives_pre_fault,human_interventions,n_plans_llm,n_plans_heuristic,first_alert_idx,first_plan_idx,first_action_idx,recovered_idx,trigger_fingerprint,fault_started_at,completed_at
F1-B_static-rep1-502fdb,F1,B_static,1,66.498381,66.498381,,,,0,2,0,0,0,4,,,,point_outlier|oai-smf|cpu_utilization,2026-05-06T21:26:40.568341+00:00,2026-05-06T21:30:01.749668+00:00
F1-B_static-rep2-f7a61f,F1,B_static,2,0.041373,0.041373,,,,0,2,0,0,0,0,,,,point_outlier|oai-smf|memory_utilization,2026-05-06T21:31:23.630185+00:00,2026-05-06T21:34:46.684221+00:00
F1-B_static-rep3-ec7807,F1,B_static,3,0.05806,0.05806,,,,0,1,0,0,0,0,,,,point_outlier|oai-upf|memory_utilization,2026-05-06T21:36:08.505303+00:00,2026-05-06T21:39:31.144160+00:00
F1-B_static-rep4-108ed5,F1,B_static,4,33.75233,33.75233,,,,0,2,0,0,0,2,,,,point_outlier|oai-smf|cpu_utilization,2026-05-06T21:40:52.908040+00:00,2026-05-06T21:44:15.572673+00:00
F1-B_static-rep5-4a558a,F1,B_static,5,0.042576,0.042576,,,,0,3,0,0,0,0,,,,point_outlier|oai-upf|cpu_utilization,2026-05-06T21:45:37.900344+00:00,2026-05-06T21:48:59.877745+00:00
F1-MAS-rep1-c5197d,F1,MAS,1,31.836152,31.836152,-31.797677,0.0,95.27843,1,1,0,0,11,1,0,0,3,point_outlier|oai-upf|network_rx_mbps,2026-05-06T19:31:50.187267+00:00,2026-05-06T19:37:25.648166+00:00
F1-MAS-rep1-dfda09,F1,MAS,1,69.995774,69.995774,-69.995731,0.0,414.49828,1,2,0,3,9,1,0,0,5,point_outlier|CPU|cpu_utilization,2026-05-10T10:56:18.546990+00:00,2026-05-10T11:12:30.040061+00:00
F1-MAS-rep2-a57207,F1,MAS,2,0.04105,0.04105,0.0,0.0,143.608671,1,3,0,1,11,0,0,0,2,point_outlier|CPU|cpu_utilization,2026-05-10T11:17:30.059373+00:00,2026-05-10T11:35:19.080496+00:00
F1-MAS-rep2-cb0547,F1,MAS,2,0.03841,0.03841,0.0,0.0,63.460683,1,3,0,0,12,0,0,0,2,point_outlier|oai-amf|cpu_utilization,2026-05-06T19:39:37.309264+00:00,2026-05-06T19:46:01.433759+00:00
F1-MAS-rep3-4397ef,F1,MAS,3,0.040511,0.040511,0.0,0.0,172.2714,1,2,0,0,12,0,0,0,2,point_outlier|The|cpu_utilization,2026-05-10T11:40:35.134972+00:00,2026-05-10T11:53:28.042761+00:00
F1-MAS-rep3-603a05,F1,MAS,3,0.042352,0.042352,0.0,0.0,63.554373,1,3,0,0,12,0,0,0,2,point_outlier|oai-ausf|cpu_utilization,2026-05-06T19:48:26.070069+00:00,2026-05-06T19:54:48.414445+00:00
F1-MAS-rep4-6b8771,F1,MAS,4,0.054737,0.054737,0.0,0.0,69.54298,1,1,0,2,10,0,0,0,2,point_outlier|oai-upf|cpu_utilization,2026-05-06T19:56:28.419504+00:00,2026-05-06T20:02:57.941491+00:00
F1-MAS-rep4-a70589,F1,MAS,4,0.089715,0.089715,0.0,0.0,215.763053,1,3,0,0,11,0,0,0,3,point_outlier|CPU|cpu_utilization,2026-05-10T11:58:04.537332+00:00,2026-05-10T12:09:09.776248+00:00
F1-MAS-rep5-a34882,F1,MAS,5,3.5e-05,3.5e-05,0.0,0.0,63.532427,1,3,0,0,6,0,0,0,2,point_outlier|oai-ausf|network_rx_mbps,2026-05-06T20:05:12.338235+00:00,2026-05-06T20:08:07.518525+00:00
F1-MAS-rep5-acb03e,F1,MAS,5,0.040045,0.040045,0.0,0.0,104.99184,1,3,0,2,10,0,0,0,2,point_outlier|Observed|memory_utilization,2026-05-10T12:12:49.867372+00:00,2026-05-10T12:24:16.552624+00:00
F2-B_static-rep1-7fd152,F2,B_static,1,17.068932,17.068932,,,,0,3,0,0,0,1,,,,point_outlier|oai-smf|memory_utilization,2026-05-06T21:50:22.819307+00:00,2026-05-06T21:53:44.297451+00:00
